From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI_Category
18-11-2021 00:00,19-11-2021 00:00,23.85,0.62,13.31,12.05,44.33,29.06,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",48.43333333333333,Good
19-11-2021 00:00,20-11-2021 00:00,27.05,0.52,11.08,8.19,39.29,25.68,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",42.800000000000004,Good
20-11-2021 00:00,21-11-2021 00:00,18.34,0.48,11.69,7.22,16.08,9.68,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",24.0,Good
21-11-2021 00:00,22-11-2021 00:00,11.86,0.53,13.83,7.2,17.23,8.25,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.5,Good
22-11-2021 00:00,23-11-2021 00:00,15.75,0.5,10.05,10.63,19.96,5.62,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.0,Good
23-11-2021 00:00,24-11-2021 00:00,15.96,0.58,15.73,10.55,25.79,11.11,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.999999999999996,Good
24-11-2021 00:00,25-11-2021 00:00,20.54,0.59,12.15,10.89,30.25,15.34,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30.25,Good
25-11-2021 00:00,26-11-2021 00:00,33.16,0.74,10.49,16.41,66.95,40.14,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",66.95,Satisfactory
26-11-2021 00:00,27-11-2021 00:00,29.83,0.59,12.04,18.73,82.27,48.26,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",82.27,Satisfactory
27-11-2021 00:00,28-11-2021 00:00,26.82,0.62,11.52,15.64,78.63,50.74,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",84.56666666666666,Satisfactory
28-11-2021 00:00,29-11-2021 00:00,50.26,0.71,16.06,10.56,105.1,76.53,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",155.10000000000002,Moderate
29-11-2021 00:00,30-11-2021 00:00,54.09,0.78,13.34,16.25,99.28,68.76,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",129.20000000000002,Moderate
30-11-2021 00:00,01-12-2021 00:00,55.73,0.74,16.04,15.38,96.35,59.34,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",98.9,Satisfactory
01-12-2021 00:00,02-12-2021 00:00,66.73,0.75,15.95,13.75,101.98,66.62,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",122.06666666666669,Moderate
02-12-2021 00:00,03-12-2021 00:00,53.91,0.86,14.39,20.53,101.31,65.54,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",118.4666666666667,Moderate
03-12-2021 00:00,04-12-2021 00:00,36.97,0.66,12.58,15.98,80.78,49.76,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",82.93333333333334,Satisfactory
04-12-2021 00:00,05-12-2021 00:00,30.95,0.63,10.41,10.84,70.51,45.7,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",76.16666666666667,Satisfactory
05-12-2021 00:00,06-12-2021 00:00,30.85,0.57,13.0,12.71,60.88,34.68,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",60.88,Satisfactory
06-12-2021 00:00,07-12-2021 00:00,25.72,0.54,27.49,13.39,45.04,19.8,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",45.04,Good
07-12-2021 00:00,08-12-2021 00:00,39.98,0.62,23.26,14.64,41.01,19.59,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",41.01,Good
08-12-2021 00:00,09-12-2021 00:00,59.8,0.57,17.5,12.59,57.95,29.95,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",59.8,Satisfactory
09-12-2021 00:00,10-12-2021 00:00,42.32,0.64,13.06,13.7,48.22,23.43,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",48.22,Good
10-12-2021 00:00,11-12-2021 00:00,43.44,0.52,13.76,12.84,39.59,19.9,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",43.44,Good
11-12-2021 00:00,12-12-2021 00:00,48.57,0.65,13.04,11.96,47.61,25.98,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",48.57,Good
12-12-2021 00:00,13-12-2021 00:00,53.38,0.64,12.65,10.95,44.84,26.39,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",53.38,Satisfactory
13-12-2021 00:00,14-12-2021 00:00,67.62,0.59,15.23,15.69,90.66,58.86,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",98.1,Satisfactory
14-12-2021 00:00,15-12-2021 00:00,53.33,0.79,11.2,14.43,101.68,73.48,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",144.93333333333334,Moderate
15-12-2021 00:00,16-12-2021 00:00,50.63,0.67,15.58,19.36,111.14,77.11,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",157.03333333333333,Moderate
16-12-2021 00:00,17-12-2021 00:00,38.03,0.55,18.31,23.72,117.77,75.74,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",152.46666666666664,Moderate
17-12-2021 00:00,18-12-2021 00:00,41.92,0.62,20.98,24.39,125.43,79.74,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",165.79999999999998,Moderate
18-12-2021 00:00,19-12-2021 00:00,44.39,0.74,21.79,23.21,118.65,73.38,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",144.6,Moderate
19-12-2021 00:00,20-12-2021 00:00,44.09,0.78,16.03,16.24,115.53,76.71,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",155.7,Moderate
20-12-2021 00:00,21-12-2021 00:00,46.36,0.74,32.02,21.01,150.89,97.36,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",224.53333333333333,Poor
21-12-2021 00:00,22-12-2021 00:00,42.77,0.72,15.96,20.78,120.14,84.76,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",182.53333333333336,Moderate
